Rank,Title,Issn
11205,AStA Advances in Statistical Analysis,"1863818X, 18638171"
11206,Australian Journal of Rural Health,"14401584, 10385282"
11207,Endocrine Research,"15324206, 07435800"
11208,IET Information Security,17518709
11209,International Journal of Social Economics,3068293
11210,Journal of Bodywork and Movement Therapies,"15329283, 13608592"
11211,Journal of Museum Education,"10598650, 20516169"
11212,Modern Stochastics: Theory and Applications,"23516046, 23516054"
11213,Neurologia i Neurochirurgia Polska,"00283843, 18974260"
11214,New York Journal of Mathematics,10769803
11215,Plasma Chemistry and Plasma Processing,"02724324, 15728986"
11216,Surfaces,25719637
11217,Transportation Safety and Environment,"26316765, 26314428"
11218,Urologia Internationalis,"00421138, 14230399"
11219,Acta Ecologica Sinica,18722032
11220,Asian Security,14799855
11221,Clinical and Experimental Hepatology,"24498238, 23921099"
11222,Cognitive and Behavioral Neurology,"15433633, 15433641"
11223,Data and Policy,26323249
11224,European Journal of Hybrid Imaging,25103636
11225,"Gender, Technology and Development","09718524, 09730656"
11226,International journal of nursing knowledge,"20473087, 20473095"
11227,JAMMI,23710888
11228,Journal of Contemporary European Studies,"14782790, 14782804"
11229,Journal of Financial Research,"02702592, 14756803"
11230,Journal of Fusion Energy,"15729591, 01640313"
11231,Journal of Intelligent Systems,"03341860, 2191026X"
11232,"Journal of Legislative Studies, The","13572334, 17439337"
11233,Journal of Mathematics and Computer Science,2008949X
11234,Journal of Seismology,"1573157X, 13834649"
11235,Journal of Signal Processing Systems,"19398115, 19398018"
11236,Mycoscience,"16182545, 13403540"
11237,Open Linguistics,23009969
11238,Protein Journal,"18758355, 15723887"
11239,African Journal of AIDS Research,"17279445, 16085906"
11240,British Journal for the History of Philosophy,9608788
11241,Current Sexual Health Reports,"15483592, 15483584"
11242,Demonstratio Mathematica,"04201213, 23914661"
11243,Documenta Praehistorica,"18542492, 1408967X"
11244,Electronic Journal of Biotechnology,7173458
11245,Electronic Journal of Qualitative Theory of Differential Equations,14173875
11246,Foundations and Trends in Human-Computer Interaction,"15513963, 15513955"
11247,History and Philosophy of the Life Sciences,"03919714, 17426316"
11248,In Vitro Cellular and Developmental Biology - Animal,"10712690, 1543706X"
11249,International Journal of Educational Research and Innovation,23864303
11250,International Orthodontics,17617227
11251,Internet Reference Services Quarterly,"15404749, 10875301"
11252,Journal of African Business,"15228916, 15229076"
11253,Journal of Chemistry,"20909071, 20909063"
11254,Journal of Drug Issues,"00220426, 19451369"
11255,Journal of Education and Health Promotion,"22779531, 23196440"
11256,Journal of Flow Chemistry,"20630212, 2062249X"
11257,Journal of Quantitative Linguistics,9296174
11258,MCN The American Journal of Maternal Child Nursing,"15390683, 0361929X"
11259,Open Economies Review,"09237992, 1573708X"
11260,Pain Management,"17581877, 17581869"
11261,Transactions of the Institute of Measurement and Control,"14770369, 01423312"
11262,Archaeologica Baltica,"13925520, 23516534"
11263,Asian Herpetological Research,20950357
11264,Asian Journal of Accounting Research,"24599700, 24434175"
11265,BBA Advances,26671603
11266,Beverage Plant Research,27692108
11267,Business History,"17437938, 00076791"
11268,Critical Studies in Media Communication,"14795809, 15295036"
11269,Energy Exploration and Exploitation,1445987
11270,Eurasip Journal on Advances in Signal Processing,"16876172, 16876180"
11271,"European Heart Journal, Supplement",1520765X
11272,Imaging Science in Dentistry,"22337830, 22337822"
11273,International Journal of Auditing,"10991123, 10906738"
11274,International Journal of Islamic and Middle Eastern Finance and Management,"17538394, 17538408"
11275,International Journal of Language Education,"25488457, 25488465"
11276,International Journal of Zoology,"16878485, 16878477"
11277,Journal of Human Trafficking,"23322705, 23322713"
11278,Journal of Phase Equilibria and Diffusion,"18637345, 15477037"
11279,Literacy,17414350
11280,Macromolecular Research,15985032
11281,Memory Studies,"17506999, 17506980"
11282,Nanomaterials and Nanotechnology,18479804
11283,Voprosy Leksikografii,"22274200, 23113758"
11284,Antarctic Science,"09541020, 13652079"
11285,Anti-Cancer Drugs,"09594973, 14735741"
11286,Asian Journal of Criminology,"1871014X, 18710131"
11287,Atherosclerosis Plus,"26670895, 26670909"
11288,Beni-Suef University Journal of Basic and Applied Sciences,"23148543, 23148535"
11289,Beton- und Stahlbetonbau,"14371006, 00059900"
11290,Current Oral Health Reports,21963002
11291,Educational Studies - AESA,"00131946, 15326993"
11292,Eksploatacja i Niezawodnosc,15072711
11293,Financial Markets and Portfolio Management,"19344554, 23738529"
11294,Journal of International and Intercultural Communication,"17513065, 17513057"
11295,Journal of Micromechanics and Microengineering,"13616439, 09601317"
11296,Journalism and Mass Communication Educator,"21614326, 10776958"
11297,Magnetic Resonance Imaging Clinics of North America,"10649689, 15579786"
11298,New Astronomy,"13841092, 13841076"
11299,Nurse Educator,"15389855, 03633624"
11300,Pharmaceutical Development and Technology,"10837450, 10979867"
11301,Research on Chemical Intermediates,"09226168, 15685675"
11302,Steroids,"0039128X, 18785867"
11303,Studies in History and Philosophy of Science Part B - Studies in History and Philosophy of Modern Physics,"13552198, 18792502"
11304,Voluntary Sector Review,"20408056, 20408064"
11305,BMC Proceedings,17536561
11306,Clinical Linguistics and Phonetics,"02699206, 14645076"
11307,Drug Development and Industrial Pharmacy,"03639045, 15205762"
11308,Educational Gerontology,"03601277, 15210472"
11309,European Journal of Lipid Science and Technology,"14389312, 14387697"
11310,Exploratory Research in Clinical and Social Pharmacy,26672766
11311,High Altitude Medicine and Biology,"15578682, 15270297"
11312,Information Discovery and Delivery,23986247
11313,International Economics and Economic Policy,"16124804, 16124812"
11314,Italian Economic Journal,"2199322X, 21993238"
11315,"Journal of Environmental Engineering, ASCE","07339372, 19437870"
11316,Journal of Food Protection,"19449097, 0362028X"
11317,Journal of Geometric Mechanics,"19414889, 19414897"
11318,Journal of Quality in Maintenance Engineering,13552511
11319,Journal of the American Society for Horticultural Science,31062
11320,Mathematics,22277390
11321,Nano Communication Networks,18787789
11322,Surface Engineering,"02670844, 17432944"
11323,Teaching and Learning in Nursing,15573087
11324,Translational Animal Science,25732102
11325,Zoosystematica Rossica,"03209180, 24100226"
11326,Adaptive Human Behavior and Physiology,21987335
11327,Advances in Materials and Processing Technologies,"2374068X, 23740698"
11328,African Journal of Emergency Medicine,"22114203, 2211419X"
11329,Al-Ihkam: Jurnal Hukum dan Pranata Sosial,"24423084, 1907591X"
11330,Applied Mathematical Finance,"1350486X, 14664313"
11331,Australian Journal of Zoology,0004959X
11332,European Journal of Mathematics,"2199675X, 21996768"
11333,Journal of Economic Education,220485
11334,Learning and Behavior,"15434508, 15434494"
11335,Machines,20751702
11336,Mammal Research,"21992401, 2199241X"
11337,Mentoring and Tutoring: Partnership in Learning,"14699745, 13611267"
11338,Midcontinental Journal of Archaeology,1461109
11339,Mitteilungen aus dem Museum fur Naturkunde in Berlin - Deutsche Entomologische Zeitschrift,"14351951, 18601324"
11340,Revista Brasileira de Ciencia do Solo,1000683
11341,Social Science Information,"05390184, 14617412"
11342,Theoretical Ecology,"18741738, 18741746"
11343,Tropical Conservation Science,19400829
11344,Chemical Engineering Communications,"00986445, 15635201"
11345,Criminology and Criminal Justice,"17488966, 17488958"
11346,Economic and Political Studies,"24704024, 20954816"
11347,European Journal of Midwifery,25852906
11348,European Physical Journal Plus,21905444
11349,Fire and Materials,"03080501, 10991018"
11350,Genes and Genomics,"19769571, 20929293"
11351,International Journal of Image and Data Fusion,"19479832, 19479824"
11352,"International Journal of Innovative Computing, Information and Control",13494198
11353,ISH Journal of Hydraulic Engineering,"09715010, 21643040"
11354,Journal of Allergy and Clinical Immunology: Global,27728293
11355,Journal of Biomaterials Applications,"08853282, 15308022"
11356,Journal of Evidence-Based Social Work (United States),"26408074, 26408066"
11357,Journal of Interdisciplinary Mathematics,9720502
11358,Journal of Toxicological Sciences,"18803989, 03881350"
11359,Management of Biological Invasions,19898649
11360,Materials Today: Proceedings,22147853
11361,Pakistan Journal of Medical Sciences,"1682024X, 1681715X"
11362,Pakistan Journal of Statistics and Operation Research,"22205810, 18162711"
11363,Russian Language Studies,"26188171, 26188163"
11364,Surveillance &amp; Society,14777487
11365,Welding Journal,432296
11366,Anesthesiology Research and Practice,"16876962, 16876970"
11367,Applied and Environmental Soil Science,"16877667, 16877675"
11368,Bio-based and Applied Economics,"22806180, 22806172"
11369,Biointerphases,"15594106, 19348630"
11370,Canadian Mathematical Bulletin,"14964287, 00084395"
11371,CIS Iron and Steel Review,20720815
11372,ETRI Journal,"12256463, 22337326"
11373,Expositiones Mathematicae,7230869
11374,International Journal of Environmental Analytical Chemistry,"10290397, 03067319"
11375,Journal of Chinese Economic and Business Studies,"14765284, 14765292"
11376,Journal of Computer Networks and Communications,"20907141, 2090715X"
11377,Journal of Emergency Nursing,"15272966, 00991767"
11378,Journal of Hospice and Palliative Nursing,"15222179, 15390705"
11379,Journal of Investigative Surgery,"15210553, 08941939"
11380,Journal of Logic and Computation,"0955792X, 1465363X"
11381,Journal of Ocean Engineering and Marine Energy,"21986452, 21986444"
11382,Journal of Radio and Audio Media,"19376537, 19376529"
11383,Kitaibelia,"20644507, 12199672"
11384,Libyan Journal of Medicine,"19932820, 18196357"
11385,Malaysian Journal of Soil Science,13947990
11386,Near Surface Geophysics,15694445
11387,Oncology Research,"09650407, 15553906"
11388,Ophthalmic Plastic and Reconstructive Surgery,"15372677, 07409303"
11389,Quality Management Journal,10686967
11390,Studies in History and Philosophy of Science Part C :Studies in History and Philosophy of Biological and Biomedical Sciences,13698486
11391,Transportation Planning and Technology,"10290354, 03081060"
11392,Veterinary Parasitology: Regional Studies and Reports,24059390
11393,Visual Neuroscience,"14698714, 09525238"
11394,Advances in Pharmacological and Pharmaceutical Sciences,"26334682, 26334690"
11395,AJOB Neuroscience,"21507740, 21507759"
11396,Annals of Neurosciences,"09763260, 09727531"
11397,Archives of Plastic Surgery,"22346163, 22346171"
11398,Australian Journal of Forensic Sciences,450618
11399,Community Development Journal,"00103802, 14682656"
11400,GeroPsych: The Journal of Gerontopsychology and Geriatric Psychiatry,"16629647, 1662971X"
11401,Inventions,24115134
11402,Iraqi Journal for Computer Science and Mathematics,"27887421, 29580544"
11403,Journal of Civil Engineering Education,"26439107, 26439115"
11404,Journal of Entrepreneurship and Public Policy,"20452101, 2045211X"
11405,Journal of Veterinary Behavior: Clinical Applications and Research,15587878
11406,Molecular and Cellular Oncology,23723556
11407,Nano Express,2632959X
11408,Onderstepoort Journal of Veterinary Research,"22190635, 00302465"
11409,Organic Agriculture,"18794238, 18794246"
11410,Scanning,"19328745, 01610457"
11411,African Journal of Primary Health Care and Family Medicine,"20712936, 20712928"
11412,"American economist, The","23281235, 05694345"
11413,BioNanoScience,"21911630, 21911649"
11414,Brazilian Journal of Otorhinolaryngology,"18088694, 18088686"
11415,Canadian Mineralogist,84476
11416,Clinical and Experimental Emergency Medicine,23834625
11417,Cogent Education,2331186X
11418,Communications in Theoretical Physics,2536102
11419,Corrosion Reviews,"03346005, 21910316"
11420,Du Bois Review,"1742058X, 17420598"
11421,Foot and Ankle Orthopaedics,24730114
11422,Frontiers in Soil Science,26738619
11423,International Journal of Architectural Computing,14780771
11424,International Journal of Chinese Education,"22125868, 2212585X"
11425,Journal of Spanish Language Teaching,"23247800, 23247797"
11426,New Left Review,286060
11427,New Research of Tuva,20798482
11428,Plant Biotechnology Reports,"18635474, 18635466"
11429,"Propellants, Explosives, Pyrotechnics","15214087, 07213115"
11430,Seminars in Arthroplasty,"10454527, 15584437"
11431,Zoological Systematics,20956827
11432,American Journal of Veterinary Research,"19435681, 00029645"
11433,Australian Veterinary Journal,"17510813, 00050423"
11434,Bulletin of Chinese Academy of Sciences,10003045
11435,Diagnostic and Interventional Radiology,"13053825, 13053612"
11436,Electronic Journal of Linear Algebra,10813810
11437,Energy Systems,"18683967, 18683975"
11438,F and S Science,2666335X
11439,Heat and Mass Transfer,"09477411, 14321181"
11440,IEEE Vehicular Technology Conference,7400551
11441,International Journal for Vitamin and Nutrition Research,"16642821, 03009831"
11442,International Journal of Parallel Programming,8857458
11443,Journal of Criminal Psychology,20093829
11444,Journal of Daylighting,23838701
11445,Journal of Difference Equations and Applications,"15635120, 10236198"
11446,Journal of Dynamical and Control Systems,"15738698, 10792724"
11447,Journal of Ethnic and Cultural Diversity in Social Work,15313204
11448,Learning and Motivation,"00239690, 10959122"
11449,"Modeling, Identification and Control","03327353, 18901328"
11450,Nordic Journal of Music Therapy,"19448260, 08098131"
11451,Operations Research for Health Care,22116923
11452,Portal Hypertension and Cirrhosis,"27705838, 27705846"
11453,Proceedings of the International Conference on Supercomputing,-
11454,Social and Legal Studies,"09646639, 14617390"
11455,South African Medical Journal,"02569574, 20785135"
11456,Advances in Social Work,"23314125, 15278565"
11457,Behavioral Sciences and the Law,"10990798, 07353936"
11458,Biological Theory,"15555550, 15555542"
11459,Chemoecology,"14230445, 09377409"
11460,Deutsches Ärzteblatt international,18660452
11461,First Break,"02635046, 13652397"
11462,"Geoscientific Instrumentation, Methods and Data Systems","21930864, 21930856"
11463,Inorganics,23046740
11464,International Journal of Orthopaedic and Trauma Nursing,"18781241, 18781292"
11465,Iranian Journal of Medical Sciences,"17353688, 02530716"
11466,Journal of Applied and Computational Mechanics,23834536
11467,Journal of Clinical and Experimental Dentistry,19895488
11468,Journal of Intensive Medicine,"2667100X, 20970250"
11469,Journal of Invasive Cardiology,"15572501, 10423931"
11470,Journal of Marine Science and Application,"19935048, 16719433"
11471,Journal of Research in Marketing and Entrepreneurship,14715201
11472,Materialpruefung/Materials Testing,"21958572, 00255300"
11473,Methodist DeBakey cardiovascular journal,"19476108, 19476094"
11474,Micropaleontology,262803
11475,Phytomedicine Plus,26670313
11476,Radio Science,"00486604, 1944799X"
11477,Stratigraphy,1547139X
11478,Veterinary Clinics of North America. Equine Practice,"15584224, 07490739"
11479,Wideochirurgia I Inne Techniki Maloinwazyjne,"18954588, 22990054"
11480,"ASCE-ASME Journal of Risk and Uncertainty in Engineering Systems, Part B: Mechanical Engineering","23329025, 23329017"
11481,Bioremediation Journal,"15476529, 10889868"
11482,Canadian Journal of Occupational Therapy,"00084174, 19119828"
11483,CEAS Aeronautical Journal,"18695582, 18695590"
11484,Current protocols in mouse biology,21612617
11485,Eurasian Economic Review,"1309422X, 2147429X"
11486,Field Methods,1525822X
11487,"Forensic Science, Medicine, and Pathology","1547769X, 15562891"
11488,Foundations and Trends in Econometrics,"15513076, 15513084"
11489,International Journal of Geometric Methods in Modern Physics,"17936977, 02198878"
11490,International Journal of Toxicology,"10915818, 1092874X"
11491,International Review of Applied Economics,"14653486, 02692171"
11492,Iranian Polymer Journal (English Edition),10261265
11493,Journal of Clinical Virology Plus,26670380
11494,Journal of Education and Work,"13639080, 14699435"
11495,Journal of Multi-Criteria Decision Analysis,"10579214, 10991360"
11496,Kardiologia Polska,"00229032, 18974279"
11497,Language Teaching for Young Learners,"2589207X, 25892053"
11498,"Memory, Mind and Media",26350238
11499,Optical and Quantum Electronics,"03068919, 1572817X"
11500,Ozone: Science and Engineering,"01919512, 15476545"
11501,Public Integrity,"15580989, 10999922"
11502,Sociological Research Online,13607804
11503,Stem Cell Research,"18735061, 18767753"
11504,Technology Innovation Management Review,19270321
11505,Botanica Marina,"00068055, 14374323"
11506,Electroanalysis,"15214109, 10400397"
11507,Gender and Development,"13552074, 13649221"
11508,Global Social Policy,"17412803, 14680181"
11509,Journal of Comparative Family Studies,472328
11510,Philosophy of the Social Sciences,"15527441, 00483931"
11511,Proceedings - IEEE International Conference on Computer Design: VLSI in Computers and Processors,10636404
11512,Teaching and Learning Inquiry,21674787
11513,Toxicology and Industrial Health,"07482337, 14770393"
11514,Tumori,"03008916, 20382529"
11515,Vibration,2571631X
11516,VirusDisease,"23473584, 23473517"
11517,Zoological Studies,10215506
11518,Acupuncture in Medicine,"09645284, 17599873"
11519,Ageing International,"1936606X, 01635158"
11520,"American Journal of Family Therapy, The",1926187
11521,European Journal for Research on the Education and Learning of Adults,20007426
11522,Hispanic Journal of Behavioral Sciences,"15526364, 07399863"
11523,International Journal of Energy for a Clean Environment,"2150363X, 21503621"
11524,International Journal of Inflammation,"20420099, 20908040"
11525,International Social Security Review,"0020871X, 1468246X"
11526,Journal of Atmospheric and Solar-Terrestrial Physics,13646826
11527,Journal of Behavioral Finance,"15427579, 15427560"
11528,Journal of Control and Decision,"23307714, 23307706"
11529,Journal of Immersion and Content-Based Language Education,"22128433, 22128441"
11530,Marine Geophysical Research,"15730581, 00253235"
11531,Pediatric Investigation,"20963726, 25742272"
11532,Revista da Sociedade Brasileira de Medicina Tropical,"00378682, 16789849"
11533,Revista Iberoamericana de Psicologia y Salud,"21712069, 19899246"
11534,Siberian Electronic Mathematical Reports,18133304
11535,Teacher Development,"13664530, 17475120"
11536,World journal for pediatric &amp; congenital heart surgery,"2150136X, 21501351"
11537,Yearbook of European Law,"20450044, 02633264"
11538,Advances in Human-Computer Interaction,"16875893, 16875907"
11539,Archives Animal Breeding,39438
11540,Archivos de Bronconeumologia,"15792129, 03002896"
11541,Canadian Public Administration,"00084840, 17547121"
11542,ChemEngineering,23057084
11543,Chemical Thermodynamics and Thermal Analysis,26673126
11544,Educational Research for Policy and Practice,15702081
11545,Geochronometria,"17338387, 18971695"
11546,Health Physics,"15385159, 00179078"
11547,Holzforschung,"00183830, 1437434X"
11548,Innovative Surgical Sciences,23647485
11549,Insect Systematics and Evolution,"1876312X, 1399560X"
11550,International Journal of Physical Modelling in Geotechnics,"20426550, 1346213X"
11551,Journal of Innovation Management,21830606
11552,Journal of Mental Health Policy and Economics,"10914358, 1099176X"
11553,Journal of Regulatory Economics,"15730468, 0922680X"
11554,Journal of Topology and Analysis,"17937167, 17935253"
11555,Qualitative Research Journal,"14480980, 14439883"
11556,"Sampling Theory, Signal Processing, and Data Analysis","27305724, 27305716"
11557,Spine Surgery and Related Research,2432261X
11558,Advances in Mathematics of Communications,"19305346, 19305338"
11559,AJOB Empirical Bioethics,"23294523, 23294515"
11560,Archives of Budo,16438698
11561,Australian Mammalogy,"18367402, 03100049"
11562,Boletin de la Sociedad Espanola de Ceramica y Vidrio,"03663175, 21730431"
11563,History of Political Economy,"15271919, 00182702"
11564,International Journal of Constitutional Law,"14742659, 14742640"
11565,International Journal of Innovation Management,"17575877, 13639196"
11566,International Journal of Political Economy,"15580970, 08911916"
11567,Journal of Elder Abuse and Neglect,"08946566, 15404129"
11568,Journal of Industrial Engineering and Management,"20138423, 20130953"
11569,Journal of Nematology,0022300X
11570,Journal of Vascular Access,"11297298, 17246032"
11571,Materiales de Construccion,"19883226, 04652746"
11572,Petrology,"15562085, 08695911"
11573,Radiation Measurements,13504487
11574,Research in Pharmaceutical Sciences,"17355362, 17359414"
11575,Scandinavian Journal of Work and Organizational Psychology,20022867
11576,Translation and Interpreting,18369324
11577,Wetlands Ecology and Management,"15729834, 09234861"
11578,Advances in Nursing Science,"01619268, 15505014"
11579,Aeronautical Journal,"20596464, 00019240"
11580,Applied Computing and Informatics,"22108327, 26341964"
11581,Arthropod-Plant Interactions,"18728847, 18728855"
11582,Australian Journal of Earth Sciences,8120099
11583,Biocontrol Science and Technology,"13600478, 09583157"
11584,Cambridge Quarterly of Healthcare Ethics,"09631801, 14692147"
11585,Canadian Journal of Soil Science,84271
11586,Clinical Medicine Insights: Arthritis and Musculoskeletal Disorders,11795441
11587,Clinical Psychologist,"13284207, 17429552"
11588,Control Theory and Technology,"20956983, 21980942"
11589,European Journal of Drug Metabolism and Pharmacokinetics,"21070180, 03787966"
11590,Global Constitutionalism,"20453825, 20453817"
11591,Infrastructure Asset Management,"20530250, 20530242"
11592,International Journal of Civil Engineering,17350522
11593,Journal of Groundwater Science and Engineering,23057068
11594,Journal of Investment Strategies,"20471238, 20471246"
11595,Journal of Language Aggression and Conflict,22131272
11596,Journal of Offender Rehabilitation,"15408558, 10509674"
11597,Journal of Plastic Surgery and Hand Surgery,"20006764, 2000656X"
11598,Journal of Polymer Research,"15728935, 10229760"
11599,Journal of the Korean Astronomical Society,"12254614, 2288890X"
11600,Journal of the Society of Laparoendoscopic Surgeons,"19383797, 10868089"
11601,KN - Journal of Cartography and Geographic Information,"25244957, 25244965"
11602,Physics (Switzerland),26248174
11603,Steel Construction,"18670520, 18670539"
11604,Archives of endocrinology and metabolism,"23593997, 23594292"
11605,Asian Social Work and Policy Review,"17531403, 17531411"
11606,Current Neurovascular Research,"15672026, 18755739"
11607,"Gesundheitswesen, Supplement",9497013
11608,Gifted Education International,"20479077, 02614294"
11609,Health Education Journal,"00178969, 17488176"
11610,International Journal of Conflict and Violence,18641385
11611,JMIR Research Protocols,19290748
11612,Journal fur Mathematik-Didaktik,"01735322, 18692699"
11613,Journal of Health Management,"09720634, 09730729"
11614,Journal of Taibah University for Science,16583655
11615,Journal of Teaching in Travel and Tourism,15313220
11616,Noise Mapping,2084879X
11617,Open Access Emergency Medicine,11791500
11618,"OTJR Occupation, Participation and Health","19382383, 15394492"
11619,"Proceedings of the Institution of Mechanical Engineers, Part O: Journal of Risk and Reliability","17480078, 1748006X"
11620,Science and Technology for the Built Environment,"2374474X, 23744731"
11621,Scientia Agricola,1039016
11622,Textile Reseach Journal,"00405175, 17467748"
11623,Washington Quarterly,"15309177, 0163660X"
11624,Acta Montanistica Slovaca,13351788
11625,Birds,26736004
11626,British Journal of Aesthetics,"00070904, 14682842"
11627,Canadian Journal of Earth Sciences,"14803313, 00084077"
11628,"Computers, Materials and Continua","15462218, 15462226"
11629,Frontiers in Mechanical Engineering,22973079
11630,International Review of Finance,"14682443, 1369412X"
11631,Investigaciones sobre Lectura,23408685
11632,Journal of Biomechanical Engineering,"15288951, 01480731"
11633,Journal of Cardiovascular Imaging,"25867210, 25867296"
11634,"Journal of comparative psychology (Washington, D.C. : 1983)","07357036, 19392087"
11635,Journal of Computer Languages,"25901184, 26659182"
11636,Journal of Mathematical Chemistry,"02599791, 15728897"
11637,Journal of Poverty and Social Justice,"17598273, 17598281"
11638,Journal of Spatial Science,"14498596, 18365655"
11639,Neuropediatrics,"0174304X, 14391899"
11640,Nursing Management,"20478976, 13545760"
11641,Parallel Computing,1678191
11642,Prosthetics and Orthotics International,"17461553, 03093646"
11643,Survey Methodology,"14920921, 07140045"
11644,Transactions of Atmospheric Sciences,16747097
11645,Trends in Organized Crime,"10844791, 19364830"
11646,Biosemiotics,"18751342, 18751350"
11647,Foundations and Trends in Marketing,"15550761, 15550753"
11648,IET Optoelectronics,"17518768, 17518776"
11649,International Journal of Photoenergy,"1110662X, 1687529X"
11650,Journal of Back and Musculoskeletal Rehabilitation,"18786324, 10538127"
11651,"Journal of the Optical Society of America A: Optics and Image Science, and Vision","15208532, 10847529"
11652,Journal of Traffic and Transportation Engineering,16711637
11653,Meitan Kexue Jishu/Coal Science and Technology (Peking),2532336
11654,NeuroReport,"09594965, 1473558X"
11655,Philosophy,"00318191, 1469817X"
11656,Qualitative Market Research,13522752
11657,Research in the Sociology of Organizations,0733558X
11658,Results in Applied Mathematics,25900374
11659,Agricultural and Resource Economics Review,10682805
11660,Applied Neuropsychology: Child,"21622973, 21622965"
11661,Decisions in Economics and Finance,"15938883, 11296569"
11662,Discrete Mathematics Letters,26642557
11663,Doklady Mathematics,"15318362, 10645624"
11664,European Zoological Journal,24750263
11665,Japan and the World Economy,9221425
11666,Journal of Children's Services,17466660
11667,Journal of Vibration Engineering and Technologies,"25233920, 25233939"
11668,Medical Engineering and Physics,"18734030, 13504533"
11669,NeuroSignals,"14248638, 1424862X"
11670,Obesity Medicine,24518476
11671,Psychiatrikē = Psychiatriki,11052333
11672,Psychopharmacology Bulletin,485764
11673,Remote Sensing Letters,"2150704X, 21507058"
11674,Small-scale Forestry,"18737617, 18737854"
11675,Sustainable Water Resources Management,"23635045, 23635037"
11676,Turkish Journal of Medical Sciences,"13000144, 13036165"
11677,Water and Environment Journal,17476585
11678,Wildlife Society Bulletin,917648
11679,"World Journal of Science, Technology and Sustainable Development","20425953, 20425945"
11680,Anales de Psicologia,"16952294, 02129728"
11681,Chemistry and Ecology,"02757540, 10290370"
11682,Clinical and Translational Imaging,"22815872, 22817565"
11683,Cutaneous and Ocular Toxicology,"15569527, 15569535"
11684,Earth (Switzerland),26734834
11685,"Ethics, Policy and Environment","21550093, 21550085"
11686,Evaluation and Program Planning,"01497189, 18737870"
11687,Gynecology and Minimally Invasive Therapy,"22133089, 22133070"
11688,Higher Learning Research Communications,21576254
11689,International Journal of Building Pathology and Adaptation,23984708
11690,Journal of Microbiological Methods,"18728359, 01677012"
11691,Journal of Nutrition in Gerontology and Geriatrics,"21551200, 21551197"
11692,Journal of Plant Diseases and Protection,"18613829, 18613837"
11693,Labour and Industry,"23255676, 10301763"
11694,Management in Education,"17419883, 08920206"
11695,Millennial Asia,"23217081, 09763996"
11696,NORMA,"18902146, 18902138"
11697,Organogenesis,"15558592, 15476278"
11698,Photonics,23046732
11699,PoLAR: Political and Legal Anthropology Review,"10816976, 15552934"
11700,Post Reproductive Health,"20533691, 20533705"
11701,Reproduction in Domestic Animals,"14390531, 09366768"
11702,Russian Mathematics,"1066369X, 1934810X"
11703,Spirituality in Clinical Practice,"23264519, 23264500"
11704,Advances in Materials Science and Engineering,"16878442, 16878434"
11705,AIMS Mathematics,24736988
11706,Annals of Clinical Psychiatry,"10401237, 15473325"
11707,Annee Psychologique,"19552580, 00035033"
11708,Central-European Journal of Immunology,"16444124, 14263912"
11709,Clinical Hemorheology and Microcirculation,13860291
11710,Forest Science,"19383738, 0015749X"
11711,Handbook of Environmental Chemistry,1867979X
11712,Hypatia,"08875367, 15272001"
11713,International Development Planning Review,"14783401, 14746743"
11714,Journal of Agricultural and Food Industrial Organization,15420485
11715,Journal of Medical Radiation Sciences,"20513909, 20513895"
11716,Journal of Pediatric Endocrinology and Metabolism,"0334018X, 21910251"
11717,Latin American Perspectives,"0094582X, 1552678X"
11718,Mineral Deposits,2587106
11719,Nefrologia,20132514
11720,Therapies,"00405957, 19585578"
11721,Accounting Perspectives,"19113838, 1911382X"
11722,Acta Geophysica,"18957455, 18956572"
11723,Acute and Critical Care,"25866060, 25866052"
11724,American Journal of Enology and Viticulture,29254
11725,Anthropology Today,0268540X
11726,Archiv der Mathematik,"0003889X, 14208938"
11727,Australian Journal of General Practice,"2208794X, 22087958"
11728,Behavioural Pharmacology,"14735849, 09558810"
11729,Cogent Food and Agriculture,23311932
11730,Developmental Neurorehabilitation,17518423
11731,Estudios Fronterizos,23959134
11732,European Physical Journal: Special Topics,"19516355, 19516401"
11733,Forensic Science International: Reports,26659107
11734,Geoscience Communication,"25697102, 25697110"
11735,IEEE Embedded Systems Letters,19430663
11736,International Journal of Coal Preparation and Utilization,"19392699, 19392702"
11737,Journal of Cardiac Surgery,"08860440, 15408191"
11738,New Zealand Veterinary Journal,"00480169, 11760710"
11739,Polymer-Plastics Technology and Materials,"2574089X, 25740881"
11740,Reading Teacher,340561
11741,Therapeutic Delivery,"20415990, 20416008"
11742,Tiedao Xuebao/Journal of the China Railway Society,10018360
11743,Women's Reproductive Health,"23293713, 23293691"
11744,Zeitschrift fur Wirtschaftsgeographie,443751
11745,Acta Psychologica Sinica,0439755X
11746,Aequationes Mathematicae,"00019054, 14208903"
11747,American Journal of Ophthalmology Case Reports,24519936
11748,Empirical Studies of the Arts,2762374
11749,Environmental Geotechnics,2051803X
11750,Folia Linguistica,"01654004, 16147308"
11751,Haseltonia,10700048
11752,IISE Transactions on Occupational Ergonomics and Human Factors,"24725838, 24725846"
11753,International Journal of Acarology,1647954
11754,IZA Journal of Labor Economics,21938997
11755,Journal of Biological Systems,"17936470, 02183390"
11756,Journal of Water Sanitation and Hygiene for Development,20439083
11757,Journal of Workplace Behavioral Health,"15555259, 15555240"
11758,Knowledge and Management of Aquatic Ecosystems,19619502
11759,Linguistic Review,"01676318, 16133676"
